"","FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","COUNTY_NAME","lat","long","ELEV_IN_M","ELEV_IN_FT","classID","ID","percentM","percentF","Group"
"73238",80691,"Willies Lake","Reservoir","AR","Sebastian",35.3046829,-94.3367053,151,495,13,80691,5.24794307315988,5.24603497356649,1
"656982",728437,"Wears Creek","Stream","MO","Cole",38.5817018,-92.1740721,169,554,1,728437,5.64820991772293,5.64592652839908,2
"991660",1071183,"East Breakwater Light","Building","OH","Lorain",41.4783731,-82.1879303,173,568,28,1071183,5.7371581054036,5.74081604988478,2
"708228",781029,"Castle Mountains","Range","MT","Meagher",46.4696649,-110.7649259,2474,8117,21,781029,56.9046030687125,56.9066015995662,2
"462923",512005,"Eaton Creek","Stream","KY","Morgan",37.9406406,-83.4129603,221,725,1,512005,6.80453635757171,6.80493425511726,1
"78838",113799,"Bee Creek","Stream","AL","Crenshaw",31.7959879,-86.2110709,91,299,1,113799,3.91372025794974,3.91758167276671,1
"13716",14179,"Altadena Park","Park","AZ","Maricopa",33.5917082,-112.0018141,426,1398,3,14179,11.3631309762064,11.3664091093941,1
"276391",315237,"Haw Pond","Lake","GA","Crisp",31.844529,-83.6333058,97,318,18,315237,4.04714253947076,4.04636030906873,1
"659652",731143,"Clarks Creek Church","Church","MO","Wayne",0,0,0,0,38,731143,1.89014898821436,1.89101260675071,2
"766521",839986,"Deer Spring","Spring","NV","White Pine",39.4860436,-115.274476,2142,7027,11,839986,49.5219034912164,49.5187745696082,2
"213473",251307,"Wescove Elementary School","School","CA","Los Angeles",34.05994,-117.94053,114,374,7,251307,4.42517233711363,4.42591839501152,1
"345700",392332,"Trap Creek","Stream","ID","Bonneville",43.3385282,-111.4799511,1786,5860,1,392332,41.6055147876362,41.6090551714789,1
"754175",827444,"Bignells Island","Island","NE","Dodge",41.4505595,-96.7639179,386,1266,36,827444,10.4736490993996,10.4717364782432,2
"384950",433447,"Delaney Creek","Stream","IN","Washington",38.7683885,-86.0410892,159,522,1,433447,5.42583944852124,5.42903619357462,1
